stock_code; description_clean                  ; revenue_total; categoria_gold
35910A    ; MULTICOLOUR EASTER RABBIT          ;        103.35;Pascua y Fiestas
20776     ; ABSTRACT CIRCLES NOTEBOOK          ;        832.66;Papelería y Tarjetería
22306     ; SILVER MUG BONE CHINA TREE OF LIFE ;       2316.2 ;Cocina y Mesa
23102     ; SILVER HEARTS TABLE DECORATION     ;       1075.03;Decoración del Hogar
23291     ; DOLLY GIRL CHILDRENS CUP           ;       2059.03;Cocina y Mesa
21926     ; RED CREAM STRIPE CUSHION COVER     ;       1325.27;Textiles del Hogar
22627     ; MINT KITCHEN SCALES                ;      14016.8 ;Cocina y Mesa
23199     ; JUMBO BAG APPLES                   ;      30450.69;Bolsos y Carteras
84845A    ; HOLLYHOCK SQUARE HANDY TIN         ;          1.25;Cajas y Almacenamiento
22835     ; HOT WATER BOTTLE I AM SO POORLY    ;      27082.84;Botellas de Agua Caliente y Confort
84396     ; 6 HOOK JEWELLERY STAND BLACK DRESS ;       1380.52;Joyería y Bijouterie
17091F    ; SANDALWOOD INCENSE IN TIN          ;         27.71;Botellas de Agua Caliente y Confort
21688     ; SILVER PLATE CANDLE BOWL SMALL     ;       2845.65;Velas e Iluminación
85099F    ; JUMBO BAG STRAWBERRY               ;      69002.13;Bolsos y Carteras
21174     ; POTTERING IN THE SHED METAL SIGN   ;      19593.81;Carteles y Señalética
22134     ; MINI LADLE LOVE HEART RED          ;       1043.58;Cocina y Mesa
23162     ; REGENCY TEA STRAINER               ;       5143.69;Cocina y Mesa
85167B    ; BLACK GRAND BAROQUE PHOTO FRAME    ;       1426.34;Marcos y Fotografía
21122     ; SET 10 PINK POLKADOT PARTY CANDLES ;      14844.78;Velas e Iluminación
20980     ; 36 PENCILS TUBE POSY               ;        282.31;Otros
23113     ; PANTRY CHOPPING BOARD              ;       5868.5 ;Cocina y Mesa
21489     ; BLUE WHITE SCARF HOT WATER BOTTLE  ;        157.6 ;Botellas de Agua Caliente y Confort
23042     ; PAPER LANTERN 7 POINT SNOW STAR    ;        711.51;Papelería y Tarjetería
22450     ; SILK PURSE BABUSHKA BLUE           ;       2798.28;Bolsos y Carteras
84529B    ; BLUE KNITTED KID S RUCKSACK        ;         62.35;Bolsos y Carteras
90177D    ; DROP DIAMANTE EARRINGS PURPLE      ;        135.76;Joyería y Bijouterie
40016     ; CHINESE DRAGON PAPER LANTERNS      ;       5487.31;Papelería y Tarjetería
85129B    ; BEADED CRYSTAL HEART GREEN SMALL   ;        315.11;Joyería y Bijouterie
90019A    ; SILVER M O P ORBIT BRACELET        ;        354.59;Joyería y Bijouterie
20812     ; EMBOSSED FLOWER TRELLIS PHOTO FRAME;         12.75;Marcos y Fotografía
48184     ; DOORMAT ENGLISH ROSE               ;      31142.63;Jardín y Exterior
20868     ; SILVER FABRIC MIRROR               ;        518.07;Decoración del Hogar
22229     ; BUNNY WOODEN PAINTED WITH FLOWER   ;        845.3 ;Pascua y Fiestas
23506     ; MINI PLAYING CARDS SPACEBOY        ;       1129.12;Otros
16202A    ; PASTEL PINK PHOTO ALBUM            ;        290.45;Marcos y Fotografía
78056     ; CAMOUFLAGE BACKPACK ON WHEELS      ;         29.85;Bolsos y Carteras
10138     ; ASSORTED COLOUR JUMBO PEN          ;        111.22;Otros
20971     ; PINK BLUE FELT CRAFT TRINKET BOX   ;      28580.97;Cajas y Almacenamiento
22596     ; CHRISTMAS STAR WISH LIST CHALKBOARD;       6471.2 ;Navidad
22677     ; FRENCH BLUE METAL DOOR SIGN 2      ;       2143.03;Carteles y Señalética
22093     ; MOTORING TISSUE BOX                ;       1429.87;Cajas y Almacenamiento
21553     ; CERAMIC BIRDHOUSE FINCH BLUE LARGE ;        581.27;Jardín y Exterior
85033G    ; SET 6 GOLD REINDEER T LIGHT CANDLES;        376.05;Velas e Iluminación
17165D    ; ASS COL LARGE SAND FROG P WEIGHT   ;        682.32;Decoración del Hogar
21652     ; GLASS ETCHED T LIGHT HOLDER MEDIUM ;       1747.94;Velas e Iluminación
22458     ; CAST IRON HOOK GARDEN FORK         ;       3790.47;Decoración del Hogar
90108     ; BLUE BLOSSOM HAIR CLIP             ;        125.83;Joyería y Bijouterie
23133     ; LARGE IVORY HEART WALL ORGANISER   ;       5525.4 ;Cajas y Almacenamiento
35955     ; SMALL FOLKART CHRISTMAS TREE DEC   ;         34.62;Navidad
22633     ; HAND WARMER UNION JACK             ;      17576.67;Botellas de Agua Caliente y Confort
90039A    ; FIRE POLISHED GLASS BRACELET RED   ;         37.61;Joyería y Bijouterie
84415A    ; PINK FLOCK SUEDE CUSHION COVER     ;         71.25;Textiles del Hogar
21726     ; MULTI HEARTS STICKERS              ;        930.99;Papelería y Tarjetería
21441     ; BLUE BIRDHOUSE DECORATION          ;        655.46;Jardín y Exterior
22594     ; CHRISTMAS GINGHAM TREE             ;       4377.33;Navidad
22895     ; SET OF 2 TEA TOWELS APPLE AND PEARS;       8648.49;Cocina y Mesa
22245     ; HOOK 1 HANGER MAGIC GARDEN         ;       3988.85;Otros
84706F    ; RED PEONY TABLE CLOCK              ;        208.3 ;Relojes y Arte de Pared
85206A    ; CREAM FELT EASTER EGG BASKET       ;       3982.91;Pascua y Fiestas
84678     ; CLASSICAL ROSE SMALL VASE          ;       1108.28;Decoración del Hogar
21545     ; CERAMIC BIRDHOUSE BUTTERFLY SMALL  ;       1640.12;Jardín y Exterior
84030E    ; ENGLISH ROSE HOT WATER BOTTLE      ;      10021.55;Botellas de Agua Caliente y Confort
85032B    ; BLOSSOM IMAGES GIFT WRAP SET       ;        953.34;Papelería y Tarjetería
20661     ; BLUE SPOTTY PURSE                  ;        980.06;Bolsos y Carteras
35793     ; S 3 PUPPIES CHRISTMAS DECORATIONS  ;        216.33;Navidad
85186A    ; EASTER BUNNY GARLAND OF FLOWERS    ;        685.87;Pascua y Fiestas
21172     ; PARTY METAL SIGN                   ;      11382.16;Carteles y Señalética
16258B    ; DAISY ERASERS IN BAG               ;        221.06;Bolsos y Carteras
72084B    ; CHOCOLATE ICE CREAM CANDLE         ;          3.9 ;Velas e Iluminación
82483     ; WOOD 2 DRAWER CABINET WHITE FINISH ;      29003.37;Decoración del Hogar
44230     ; SQUARE MIRROR CURTAIN              ;       3381.62;Decoración del Hogar
90012B    ; BLACK DROP CRYSTAL NECKLACE        ;         85.9 ;Joyería y Bijouterie
21485     ; RETROSPOT HEART HOT WATER BOTTLE   ;      37078.67;Botellas de Agua Caliente y Confort
20836     ; FRENCH PAISLEY CUSHION COVER       ;        250.0 ;Textiles del Hogar
20616     ; CHERRY BLOSSOM PASSPORT COVER      ;        449.26;Papelería y Tarjetería
21259     ; VICTORIAN SEWING BOX SMALL         ;      13843.92;Cajas y Almacenamiento
84858C    ; PINK RIVIERA HANDBAG               ;        611.07;Bolsos y Carteras
21911     ; GARDEN METAL SIGN                  ;       4080.85;Carteles y Señalética
84306     ; S 3 PINK SQUARE PLANTERS ROSES     ;        557.48;Jardín y Exterior
20989     ; URBAN CHIC CHOPSTICKS SET 5        ;        782.18;Otros
90013A    ; MIDNIGHT BLUE VINTAGE EARRINGS     ;        434.27;Joyería y Bijouterie
23029     ; DRAWER KNOB CRACKLE GLAZE GREEN    ;       2303.92;Cajas y Almacenamiento
84029D    ; LEOPARD PRINT HOT WATER BOTTLE     ;        183.98;Botellas de Agua Caliente y Confort
22459     ; CAST IRON HOOK GARDEN TROWEL       ;       3389.74;Decoración del Hogar
22478     ; BIRDHOUSE GARDEN MARKER            ;       3848.41;Jardín y Exterior
