stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
22050,PINK PAISLEY ROSE GIFT WRAP,115,3300,1354.0,0.42
22051,BLUE SCANDINAVIAN PAISLEY WRAP,116,3175,1317.5,0.42
22052,VINTAGE CARAVAN GIFT WRAP,128,3525,1460.5,0.42
22053,EMPIRE DESIGN ROSETTE,87,4551,4020.89,1.51
22054,MINI CAKE STAND HANGING HEARTS,78,361,655.01,2.15
22055,MINI CAKE STAND HANGING STRAWBERY,747,4925,8179.19,2.16
22056,CERAMIC PLATE LOVE HEART DESIGN,34,607,656.87,1.94
22057,CERAMIC PLATE STRAWBERRY DESIGN,260,3060,4011.73,2.05
22058,CERAMIC LOVE HEARTS DESIGN MUG,110,520,795.72,1.66
22059,CERAMIC STRAWBERRY DESIGN MUG,477,4940,6639.03,1.77
22060,LARGE CAKE STAND HANGING HEARTS,161,733,5691.41,9.87
22061,LARGE CAKE STAND HANGING STRAWBERY,521,2171,19121.37,11.22
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,132,761,1248.15,2.4
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,365,2303,6356.06,3.65
22064,PINK DOUGHNUT TRINKET POT,706,6606,10592.66,2.14
22065,CHRISTMAS PUDDING TRINKET POT,470,8640,6273.84,1.42
22066,LOVE HEART TRINKET POT,280,3435,2729.16,1.16
22067,CHOC TRUFFLE GOLD TRINKET POT,254,1855,3019.32,2.1
22068,BLACK PIRATE TREASURE CHEST,278,1112,1979.82,2.25
22069,BROWN PIRATE TREASURE CHEST,269,968,2164.63,2.96
22070,SMALL RED RETROSPOT MUG IN BOX,324,1835,5701.49,4.04
22071,SMALL WHITE RETROSPOT MUG IN BOX,260,1530,4355.88,3.86
22072,RED RETROSPOT TEA CUP AND SAUCER,525,2405,9231.01,4.43
22073,RED RETROSPOT STORAGE JAR,487,2124,8457.89,4.62
22074,6 RIBBONS SHIMMERING PINKS,291,2156,2216.34,1.52
22075,6 RIBBONS ELEGANT CHRISTMAS,363,3079,4660.69,1.81
22076,6 RIBBONS EMPIRE,379,2353,3490.19,1.73
22077,6 RIBBONS RUSTIC CHARM,1780,17238,31513.11,2.11
22078,RIBBON REEL LACE DESIGN,487,3984,8449.94,2.5
22079,RIBBON REEL HEARTS DESIGN,690,5028,8457.84,1.93
22080,RIBBON REEL SPOTS DESIGN,524,3887,6512.44,1.92
22081,RIBBON REEL FLORA FAUNA,304,1559,2761.04,2.18
22082,RIBBON REEL STRIPES DESIGN,976,7267,12192.05,1.89
22083,PAPER CHAIN KIT RETROSPOT,1409,13716,40412.82,3.62
22084,PAPER CHAIN KIT EMPIRE,821,8803,25163.56,3.27
22085,PAPER CHAIN KIT SKULLS,231,2538,6883.87,3.19
22086,PAPER CHAIN KIT 50 S CHRISTMAS,2068,35084,117760.29,3.37
22087,PAPER BUNTING WHITE LACE,865,8475,25389.1,3.48
22088,PAPER BUNTING COLOURED LACE,626,4399,13076.88,3.52
22089,PAPER BUNTING VINTAGE PAISLEY,561,3506,10303.35,3.38
22090,PAPER BUNTING RETROSPOT,1720,16698,50431.9,3.67
22091,EMPIRE TISSUE BOX,324,3179,2485.86,1.26
22092,BLUE PAISLEY TISSUE BOX,140,933,592.91,0.82
22093,MOTORING TISSUE BOX,278,2346,1429.87,0.96
22094,RED RETROSPOT TISSUE BOX,342,3557,2649.05,1.31
22095,LADS ONLY TISSUE BOX,292,2978,3123.03,1.39
22096,PINK PAISLEY SQUARE TISSUE BOX,185,1667,938.86,0.92
22097,SWALLOW SQUARE TISSUE BOX,250,2064,1281.75,0.99
22098,BOUDOIR SQUARE TISSUE BOX,319,2865,1952.04,1.25
22099,CARAVAN SQUARE TISSUE BOX,300,2123,1585.46,1.28
22100,SKULLS SQUARE TISSUE BOX,128,1005,709.5,1.46
22101,MIRROR MOSAIC VOTIVE HOLDER,117,1909,2790.27,2.33
22102,MIRROR MOSAIC T LIGHT HOLDER,59,1842,1191.69,2.0
22103,MIRROR MOSAIC T LIGHT HOLDER ROUND,71,1746,1760.64,2.05
22104,MIRROR MOSAIC CANDLE PLATE,99,1187,968.08,1.58
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,56,692,1294.7,4.25
22106,MIRROR MOSAIC HURRICANE LAMP,79,509,1589.98,5.47
22107,PIZZA PLATE IN BOX,373,1240,4840.59,4.64
22108,PING MICROWAVE PLATE,128,313,978.74,3.54
22109,FULL ENGLISH BREAKFAST PLATE,649,3338,13750.11,5.13
22110,BIRD HOUSE HOT WATER BOTTLE,524,2609,8563.76,3.84
22111,SCOTTIE DOG HOT WATER BOTTLE,1727,9776,49771.94,5.73
22112,CHOCOLATE HOT WATER BOTTLE,1745,11065,57981.94,5.85
22113,GREY HEART HOT WATER BOTTLE,1026,5759,22025.93,4.2
22114,HOT WATER BOTTLE TEA AND SYMPATHY,1597,11677,59189.14,4.77
22115,METAL SIGN EMPIRE TEA,503,2889,5695.1,3.27
22116,METAL SIGN HIS DINNER IS SERVED,198,823,1103.88,1.82
22117,METAL SIGN HER DINNER IS SERVED,230,1765,5207.73,3.06
22118,JOY WOODEN BLOCK LETTERS,276,799,3842.07,5.4
22119,PEACE WOODEN BLOCK LETTERS,347,896,5543.87,6.81
22120,WELCOME WOODEN BLOCK LETTERS,367,1018,10314.19,11.29
22121,NOEL WOODEN BLOCK LETTERS,444,1481,9167.61,6.64
22122,SET OF 2 FANCY FONT TEA TOWELS,196,1095,3290.08,3.47
22123,PING MICROWAVE APRON,167,655,1700.14,3.73
22124,SET OF 2 TEA TOWELS PING MICROWAVE,132,298,751.93,2.72
22125,UNION JACK HOT WATER BOTTLE,189,653,4089.09,6.85
22127,PARTY CONES CARNIVAL ASSORTED,159,3468,4153.11,1.82
22128,PARTY CONES CANDY ASSORTED,197,3923,4759.59,1.54
22129,PARTY CONES CANDY TREE DECORATION,175,3246,3095.12,1.63
22130,PARTY CONE CHRISTMAS DECORATION,432,9737,10991.21,1.8
22131,FOOD CONTAINER SET 3 LOVE HEART,711,5243,9914.89,2.55
22132,RED LOVE HEART SHAPE CUP,389,3345,2989.81,1.15
22133,PINK LOVE HEART SHAPE CUP,328,2464,2258.61,1.23
22134,MINI LADLE LOVE HEART RED,299,2354,1043.58,0.64
22135,MINI LADLE LOVE HEART PINK,317,1624,806.15,0.68
22136,LOVE HEART SOCK HANGER,270,1989,3322.22,2.09
22137,BATHROOM SET LOVE HEART DESIGN,43,606,1508.28,3.62
22138,BAKING SET 9 PIECE RETROSPOT,1926,9366,45882.01,5.37
22139,RETROSPOT TEA SET CERAMIC 11 PC,2103,10609,52843.01,5.58
22141,CHRISTMAS CRAFT TREE TOP ANGEL,582,3663,8895.21,2.6
22142,CHRISTMAS CRAFT WHITE FAIRY,515,4300,6445.39,1.73
22143,CHRISTMAS CRAFT HEART DECORATIONS,71,446,942.88,2.58
22144,CHRISTMAS CRAFT LITTLE FRIENDS,716,5134,12382.47,2.59
22145,CHRISTMAS CRAFT HEART STOCKING,201,1306,2752.66,2.37
22146,EASTER CRAFT IVY WREATH WITH CHICK,109,1413,2633.13,2.0
22147,FELTCRAFT BUTTERFLY HEARTS,1171,12828,17893.58,1.62
22148,EASTER CRAFT 4 CHICKS,305,3237,6480.29,2.31
22149,FELTCRAFT 6 FLOWER FRIENDS,1407,12674,26218.97,2.38
22150,3 STRIPEY MICE FELTCRAFT,957,7815,14486.55,2.2
22151,PLACE SETTING WHITE HEART,736,27562,11609.19,0.54
22152,PLACE SETTING WHITE STAR,249,6241,2642.28,0.52
22153,ANGEL DECORATION STARS ON DRESS,293,5705,2469.16,0.55
22154,ANGEL DECORATION 3 BUTTONS,329,7114,3073.32,0.53
22155,STAR DECORATION RUSTIC,355,5925,2671.81,0.56
22156,HEART DECORATION WITH PEARLS,594,6156,5537.57,1.08
22157,ANGEL DECORATION WITH LACE PADDED,128,1698,1451.4,0.89
22158,3 HEARTS HANGING DECORATION RUSTIC,732,8985,29198.28,3.22
22161,HEART DECORATION RUSTIC HANGING,508,6726,2738.28,0.7
22162,HEART GARLAND RUSTIC PADDED,265,1218,3737.9,3.38
22163,HEART STRING MEMO HOLDER HANGING,202,1269,2235.12,2.33
22164,STRING OF STARS CARD HOLDER,49,315,883.22,3.35
22165,DIAMANTE HEART SHAPED WALL MIRROR,275,976,7673.73,12.87
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,159,440,3528.75,12.14
22167,OVAL WALL MIRROR DIAMANTE,304,690,6056.33,11.31
22168,ORGANISER WOOD ANTIQUE WHITE,312,659,5475.93,8.5
22169,FAMILY ALBUM WHITE PICTURE FRAME,701,2275,19507.6,9.79
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,575,2385,15645.27,7.42
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,661,3141,23709.46,9.8
22172,METAL SHELF WITH RAIL,186,378,3451.82,9.58
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,1006,5026,15411.9,3.73
22174,PHOTO CUBE,565,5122,10374.33,2.52
22175,PINK OWL SOFT TOY,365,1824,5278.31,3.42
22176,BLUE OWL SOFT TOY,260,1184,3542.73,3.36
22177,5 HOOK BLACKBOARD ORGANISER,125,325,3101.46,11.89
22178,VICTORIAN GLASS HANGING T LIGHT,1841,40081,52382.82,1.57
22179,SET 10 LIGHTS NIGHT OWL,569,2023,14418.61,8.44
22180,RETROSPOT LAMP,410,975,10103.38,11.28
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,140,1538,1291.38,1.02
22182,CAKE STAND VICTORIAN FILIGREE SMALL,172,561,2156.45,4.56
22183,CAKE STAND VICTORIAN FILIGREE MED,209,586,3297.25,6.31
22184,CAKE STAND VICTORIAN FILIGREE LARGE,146,389,2887.07,9.2
22185,SLATE TILE NATURAL HANGING,466,3896,6224.72,1.92
22186,RED STAR CARD HOLDER,346,2004,5431.4,3.24
22187,GREEN CHRISTMAS TREE CARD HOLDER,366,2104,6820.7,4.36
22188,BLACK HEART CARD HOLDER,567,10353,28112.03,4.46
22189,CREAM HEART CARD HOLDER,1304,16186,49300.94,4.43
22190,LOCAL CAFE MUG,245,1400,2591.67,2.36
22191,IVORY DINER WALL CLOCK,623,1967,16216.05,8.73
22192,BLUE DINER WALL CLOCK,544,1426,12104.8,8.9
22193,RED DINER WALL CLOCK,617,1910,16117.98,9.22
22194,BLACK DINER WALL CLOCK,160,373,3212.1,9.19
22195,LARGE HEART MEASURING SPOONS,824,5127,9144.24,2.25
22196,SMALL HEART MEASURING SPOONS,1006,6586,6141.19,1.18
22197,SMALL POPCORN HOLDER,2366,88499,79520.2,1.03
22198,LARGE POPCORN HOLDER,654,7331,12759.61,2.07
22199,FRYING PAN RED RETROSPOT,406,1827,7480.35,5.19
22200,FRYING PAN PINK POLKADOT,358,1296,5784.92,5.63
22201,FRYING PAN BLUE POLKADOT,166,509,2034.4,4.55
22202,MILK PAN PINK RETROSPOT,265,1074,4336.25,5.25
22203,MILK PAN RED RETROSPOT,394,1402,5469.51,4.64
22204,MILK PAN BLUE POLKADOT,170,537,1974.29,4.21
22206,MUG DOTCOMGIFTSHOP COM,10,14,11.82,0.84
22207,FRYING PAN UNION FLAG,480,3103,13298.57,5.55
22208,WOOD STAMP SET THANK YOU,441,2366,3036.95,1.56
22209,WOOD STAMP SET HAPPY BIRTHDAY,259,1415,1753.94,1.42
22210,WOOD STAMP SET BEST WISHES,295,1586,1898.42,1.38
22211,WOOD STAMP SET FLOWERS,297,1531,2022.35,1.52
22212,FOUR HOOK WHITE LOVEBIRDS,840,4024,8642.3,2.62
22214,CANDLE PLATE LACE WHITE,92,549,1279.79,2.72
22215,CAKE STAND WHITE TWO TIER LACE,359,1085,8809.93,9.03
22216,T LIGHT HOLDER WHITE LACE,121,1396,1215.83,1.07
22217,T LIGHT HOLDER HANGING LACE,216,2374,2814.81,1.41
22218,CAKE STAND LACE WHITE,264,1232,5365.66,5.4
22219,LOVEBIRD HANGING DECORATION WHITE,1170,9771,9270.48,1.13
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,270,745,6885.44,10.38
22221,CAKE STAND LOVEBIRD 2 TIER PINK,157,905,6702.33,10.58
22222,CAKE PLATE LOVEBIRD WHITE,403,1489,6160.84,5.63
22223,CAKE PLATE LOVEBIRD PINK,177,726,3359.66,5.41
22224,WHITE LOVEBIRD LANTERN,404,2373,7527.94,3.62
22227,HANGING HEART MIRROR DECORATION,664,6021,4344.17,0.89
22228,BUNNY WOODEN PAINTED WITH BIRD,278,1727,1456.6,1.02
22229,BUNNY WOODEN PAINTED WITH FLOWER,189,1007,845.3,1.02
22230,JIGSAW TREE WITH WATERING CAN,196,1657,1134.64,0.94
22231,JIGSAW TREE WITH BIRDHOUSE,301,2135,2712.48,1.55
22232,JIGSAW TOADSTOOLS 3 PIECE,158,1109,1318.99,1.56
22233,JIGSAW RABBIT AND BIRDHOUSE,167,949,1210.11,1.51
22236,CAKE STAND 3 TIER MAGIC GARDEN,421,1127,13965.52,13.38
22241,GARLAND WOODEN HAPPY EASTER,479,4349,5862.42,1.59
22242,HOOK 5 HANGER MAGIC TOADSTOOL,371,4756,7559.91,1.92
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,395,7678,11860.25,1.9
22244,3 HOOK HANGER MAGIC GARDEN,432,4760,9101.96,2.69
22245,HOOK 1 HANGER MAGIC GARDEN,418,4633,3988.85,1.11
22246,GARLAND MAGIC GARDEN 1 8M,189,1081,2287.95,2.7
22247,BUNNY DECORATION MAGIC GARDEN,187,1184,1022.79,1.05
22248,DECORATION PINK CHICK MAGIC GARDEN,179,1013,901.5,1.07
22249,DECORATION WHITE CHICK MAGIC GARDEN,248,1636,1434.66,1.04
22250,DECORATION BUTTERFLY MAGIC GARDEN,263,1521,1382.96,1.14
22251,BIRDHOUSE DECORATION MAGIC GARDEN,301,1871,2317.64,1.56
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,116,956,1175.56,1.28
22253,6 CROCHET STRAWBERRIES,89,964,1158.28,1.47
22254,FELT TOADSTOOL LARGE,150,1398,1792.21,1.52
22255,FELT TOADSTOOL SMALL,145,1185,1127.11,1.15
22256,FELT FARM ANIMAL CHICKEN,122,933,1200.07,1.57
22257,FELT FARM ANIMAL SHEEP,59,419,345.48,1.24
22258,FELT FARM ANIMAL RABBIT,133,1342,1291.05,1.46
22259,FELT FARM ANIMAL HEN,74,590,482.95,1.3
22260,FELT EGG COSY BLUE RABBIT,246,1557,1594.77,1.29
22261,FELT EGG COSY WHITE RABBIT,254,2105,2024.35,1.15
22262,FELT EGG COSY CHICKEN,319,2026,1947.82,1.15
22263,FELT EGG COSY LADYBIRD,107,836,627.38,1.17
22264,FELT FARM ANIMAL WHITE BUNNY,170,2014,1152.22,1.06
22265,EASTER DECORATION NATURAL CHICK,177,1843,1207.8,0.76
22266,EASTER DECORATION HANGING BUNNY,170,2542,1040.11,0.69
22267,EASTER DECORATION EGG BUNNY,121,1472,1291.47,1.17
22268,EASTER DECORATION SITTING BUNNY,245,2554,1271.29,0.83
22269,EGG CUP NATURAL CHICKEN,206,1521,1357.7,1.21
22270,HAPPY EASTER HANGING DECORATION,158,685,2638.67,4.25
22271,FELTCRAFT DOLL ROSIE,794,4866,13921.73,3.27
22272,FELTCRAFT DOLL MARIA,304,1371,3848.34,3.16
22273,FELTCRAFT DOLL MOLLY,820,7355,20150.99,3.3
22274,FELTCRAFT DOLL EMILY,661,3773,10770.07,3.27
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,319,946,7875.33,8.89
22276,WASH BAG VINTAGE ROSE PAISLEY,374,1889,4884.86,3.02
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,252,1400,2927.49,2.48
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,388,1016,5959.53,6.75
22279,POCKET BAG BLUE PAISLEY RED SPOT,217,1440,2104.62,1.63
22280,POCKET BAG PINK PAISELY BROWN SPOT,162,877,1248.74,1.56
22281,EASTER TREE YELLOW BIRDS,149,511,3285.86,8.12
22282,12 EGG HOUSE PAINTED WOOD,216,561,7304.69,16.84
22283,6 EGG HOUSE PAINTED WOOD,382,1032,8533.09,9.6
22284,HEN HOUSE DECORATION,305,2465,4017.74,2.0
22285,DECORATION HEN ON NEST HANGING,269,2705,4248.01,1.93
22286,DECORATION WOBBLY RABBIT METAL,195,1937,2200.75,1.74
22287,DECORATION WOBBLY CHICKEN METAL,121,1340,1435.75,1.68
22288,HANGING METAL RABBIT DECORATION,125,1310,1525.99,1.56
22289,DECORATION HANGING METAL CHICKEN,78,764,817.48,1.55
22290,STANDING METAL RABBIT WITH EGG,79,670,1223.02,2.36
22291,SPRING DEC HANGING CHICK CREAM,269,3193,4412.93,1.64
22292,HANGING CHICK YELLOW DECORATION,227,2779,3773.74,1.6
22293,HANGING CHICK GREEN DECORATION,230,2034,2860.2,1.8
22294,HEART FILIGREE DOVE SMALL,894,16671,20629.38,1.46
22295,HEART FILIGREE DOVE LARGE,724,8411,13873.54,1.83
22296,HEART IVORY TRELLIS LARGE,854,9719,16027.56,1.81
22297,HEART IVORY TRELLIS SMALL,989,13715,17702.62,1.65
22299,PIG KEYRING WITH LIGHT SOUND,202,3912,4430.82,1.63
22300,COFFEE MUG DOG BALL DESIGN,530,4116,9891.4,3.01
22301,COFFEE MUG CAT BIRD DESIGN,645,5009,12124.78,3.18
22302,COFFEE MUG PEARS DESIGN,399,4926,10492.45,2.72
22303,COFFEE MUG APPLES DESIGN,541,5439,12701.63,2.73
22304,COFFEE MUG BLUE PAISLEY DESIGN,167,2380,4689.56,2.86
22305,COFFEE MUG PINK PAISLEY DESIGN,144,2267,4711.53,2.8
22306,SILVER MUG BONE CHINA TREE OF LIFE,165,1621,2316.2,2.03
22307,GOLD MUG BONE CHINA TREE OF LIFE,119,1199,1804.11,2.35
22308,TEA COSY BLUE STRIPE,214,677,2085.05,3.93
22309,TEA COSY RED STRIPE,267,1331,3459.08,3.45
22310,IVORY KNITTED MUG COSY,226,1739,3113.94,2.51
22311,OFFICE MUG WARMER BLACK SILVER,302,2116,6755.56,4.55
22312,OFFICE MUG WARMER POLKADOT,272,1233,4254.05,4.29
22313,OFFICE MUG WARMER PINK,139,985,3146.07,4.27
22314,OFFICE MUG WARMER CHOC BLUE,254,1110,3888.48,4.34
22315,200 RED WHITE BENDY STRAWS,389,2136,2749.51,1.45
22316,200 BENDY SKULL STRAWS,119,1257,1432.82,1.4
22317,FIVE CATS HANGING DECORATION,168,587,1827.64,3.68
22318,FIVE HEART HANGING DECORATION,393,1583,4983.98,3.68
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,174,2987,1698.04,0.81
22320,BIRDS MOBILE VINTAGE DESIGN,180,598,3545.02,6.2
22321,BIRD DECORATION RED RETROSPOT,305,2528,2339.95,1.23
22322,BIRD DECORATION GREEN POLKADOT,272,1617,1528.21,1.23
22323,PINK POLKADOT KIDS BAG,117,635,1683.31,3.19
22324,BLUE POLKADOT KIDS BAG,153,664,1797.06,3.32
22325,MOBILE VINTAGE HEARTS,225,699,3139.99,5.01
22326,ROUND SNACK BOXES SET OF4 WOODLAND,1403,15446,44257.74,3.43
22327,ROUND SNACK BOXES SET OF 4 SKULLS,660,3065,9943.55,3.8
22328,ROUND SNACK BOXES SET OF 4 FRUITS,1168,12959,36170.31,3.19
22329,ROUND CONTAINER SET OF 5 RETROSPOT,613,5159,8430.45,2.08
22330,72 ROUND PINK DOILIES,22,128,197.9,1.87
22331,WOODLAND PARTY BAG STICKER SET,441,3660,6011.57,1.98
22332,SKULLS PARTY BAG STICKER SET,385,4158,6520.55,1.82
22333,RETROSPOT PARTY BAG STICKER SET,702,10030,15639.65,1.86
22334,DINOSAUR PARTY BAG STICKER SET,268,2230,3552.36,1.74
22335,HEART DECORATION PAINTED ZINC,524,8666,5644.77,0.85
22336,DOVE DECORATION PAINTED ZINC,222,4661,2234.96,0.73
22337,ANGEL DECORATION PAINTED ZINC,149,2473,1522.52,0.73
22338,STAR DECORATION PAINTED ZINC,271,6087,2151.99,0.55
22339,CHRISTMAS TREE PAINTED ZINC,151,3521,1385.46,0.57
22340,NOEL GARLAND PAINTED ZINC,184,1799,1511.05,1.24
22341,LOVE GARLAND PAINTED ZINC,242,3467,5698.89,2.36
22342,HOME GARLAND PAINTED ZINC,230,1817,2521.25,2.04
22343,PARTY PIZZA DISH RED RETROSPOT,188,3297,1985.74,0.83
22344,PARTY PIZZA DISH PINK POLKADOT,133,1580,807.32,0.84
22345,PARTY PIZZA DISH BLUE POLKADOT,130,1466,710.6,0.8
22346,PARTY PIZZA DISH GREEN POLKADOT,104,1300,612.61,0.81
22347,PIZZA SLICE DISH,115,2716,3119.18,1.66
22348,TEA BAG PLATE RED RETROSPOT,971,12453,10583.12,1.07
22349,DOG BOWL CHASING BALL DESIGN,368,2571,10551.67,4.15
22350,ILLUSTRATED CAT BOWL,334,2840,7883.44,3.08
22351,DOTCOMGIFTSHOP TEA TOWEL,3,15,29.81,2.77
22352,LUNCH BOX WITH CUTLERY RETROSPOT,1122,7090,17830.71,3.13
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,498,3039,7917.89,3.15
22354,RETROSPOT PADDED SEAT CUSHION,281,2228,8454.56,4.25
22355,CHARLOTTE BAG SUKI DESIGN,1752,31956,45377.56,1.16
22356,CHARLOTTE BAG PINK POLKADOT,1599,20015,20871.9,1.16
22357,KINGS CHOICE BISCUIT TIN,462,2073,9352.41,5.12
22358,KINGS CHOICE TEA CADDY,610,2651,8393.61,3.87
22359,GLASS JAR KINGS CHOICE,202,1278,4052.18,3.62
22360,GLASS JAR ENGLISH CONFECTIONERY,427,2503,7535.5,3.78
22361,GLASS JAR DAISY FRESH COTTON WOOL,498,1845,6036.26,4.27
22362,GLASS JAR PEACOCK BATH SALTS,253,747,2410.53,3.82
22363,GLASS JAR MARMALADE,172,781,2303.39,3.64
22364,GLASS JAR DIGESTIVE BISCUITS,342,2054,6498.61,3.92
22365,DOORMAT RESPECTABLE HOUSE,443,2329,15289.79,8.92
22366,DOORMAT AIRMAIL,568,2540,17242.3,9.06
22367,CHILDRENS APRON SPACEBOY DESIGN,1161,8059,15778.67,2.25
22371,AIRLINE BAG VINTAGE TOKYO 78,687,1828,8936.8,5.36
22372,AIRLINE BAG VINTAGE WORLD CHAMPION,288,604,3073.43,5.34
22374,AIRLINE BAG VINTAGE JET SET RED,432,1023,5099.84,5.33
22375,AIRLINE BAG VINTAGE JET SET BROWN,285,590,2969.29,5.49
22376,AIRLINE BAG VINTAGE JET SET WHITE,249,529,2632.18,5.22
22377,BOTTLE BAG RETROSPOT,436,3618,6920.11,2.47
22378,WALL TIDY RETROSPOT,547,3749,6826.51,2.86
22379,RECYCLING BAG RETROSPOT,1583,15765,34640.84,2.9
22380,TOY TIDY SPACEBOY,690,4964,10217.66,2.46
22381,TOY TIDY PINK POLKADOT,1111,9265,19619.54,2.73
22382,LUNCH BAG SPACEBOY DESIGN,2173,20248,34071.97,1.9
22383,LUNCH BAG SUKI DESIGN,2436,25058,43254.35,2.08
22384,LUNCH BAG PINK POLKADOT,2137,20783,34088.79,1.95
22385,JUMBO BAG SPACEBOY DESIGN,1259,17057,32433.5,2.44
22386,JUMBO BAG PINK POLKADOT,2269,39437,76324.62,2.41
22389,PAPERWEIGHT SAVE THE PLANET,92,647,1245.52,2.54
22390,PAPERWEIGHT CHILDHOOD MEMORIES,83,813,1448.52,2.65
22391,PAPERWEIGHT HOME SWEET HOME,66,323,635.19,2.82
22393,PAPERWEIGHT VINTAGE COLLAGE,120,834,1459.37,2.87
22394,PAPERWEIGHT KINGS CHOICE,55,346,544.29,2.54
22395,PAPERWEIGHT VINTAGE PAISLEY,53,234,413.76,3.09
22396,MAGNETS PACK OF 4 RETRO PHOTO,185,1895,1427.08,0.92
22398,MAGNETS PACK OF 4 SWALLOWS,438,4239,3687.48,1.01
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,278,4040,4734.6,1.31
22400,MAGNETS PACK OF 4 HOME SWEET HOME,237,2450,2049.56,0.89
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,254,3431,3012.78,0.92
22403,MAGNETS PACK OF 4 VINTAGE LABELS,212,1715,1195.89,1.11
22405,MONEY BOX POCKET MONEY DESIGN,221,1642,1993.38,1.35
22406,MONEY BOX KINGS CHOICE DESIGN,219,2487,3149.35,1.46
22407,MONEY BOX FIRST ADE DESIGN,75,438,521.12,1.39
22408,MONEY BOX CONFECTIONERY DESIGN,96,650,798.67,1.46
22409,MONEY BOX BISCUITS DESIGN,165,1686,2290.46,1.55
22410,MONEY BOX HOUSEKEEPING DESIGN,198,1363,1667.46,1.39
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2209,27281,57318.71,2.45
22412,METAL SIGN NEIGHBOURHOOD WITCH,406,2401,5140.82,2.57
22413,METAL SIGN TAKE IT OR LEAVE IT,888,6976,19728.24,3.3
22414,DOORMAT NEIGHBOURHOOD WITCH,220,1187,7203.57,9.45
22415,WHITE TISSUE REAM,204,317,2520.15,7.95
22416,SET OF 36 DOILIES SPACEBOY DESIGN,176,1970,2763.36,1.58
22417,PACK OF 60 SPACEBOY CAKE CASES,1125,21451,11159.9,0.71
22418,10 COLOUR SPACEBOY PEN,590,12314,10417.73,1.02
22419,LIPSTICK PEN RED,519,6847,3242.59,0.6
22420,LIPSTICK PEN BABY PINK,240,2111,1014.75,0.59
22421,LIPSTICK PEN FUSCHIA,416,4721,2351.86,0.59
22422,TOOTHPASTE TUBE PEN,359,2743,1760.94,0.99
22423,REGENCY CAKESTAND 3 TIER,3950,26478,330590.32,14.19
22424,ENAMEL BREAD BIN CREAM,740,1529,20886.89,15.39
22425,ENAMEL COLANDER CREAM,302,854,4321.52,5.61
22426,ENAMEL WASH BOWL CREAM,373,1333,5133.3,4.71
22427,ENAMEL FLOWER JUG CREAM,802,3210,19273.28,6.53
22428,ENAMEL FIRE BUCKET CREAM,192,459,3379.67,7.96
22429,ENAMEL MEASURING JUG CREAM,628,2280,9844.04,4.82
22430,ENAMEL WATERING CAN CREAM,358,1397,6761.38,5.6
22431,WATERING CAN BLUE ELEPHANT,623,3365,6771.52,2.36
22432,WATERING CAN PINK BUNNY,519,3532,6730.42,2.27
22433,WATERING CAN GREEN DINOSAUR,425,2778,5186.28,2.26
22434,BALLOON PUMP WITH 10 BALLOONS,287,2547,4733.49,2.04
22435,SET OF 9 HEART SHAPED BALLOONS,547,4915,6185.22,1.43
22436,12 COLOURED PARTY BALLOONS,294,4215,2687.05,0.68
22437,SET OF 9 BLACK SKULL BALLOONS,451,6514,5457.97,0.98
22438,BALLOON ART MAKE YOUR OWN FLOWERS,177,1459,1913.22,1.92
22439,6 ROCKET BALLOONS,370,3891,2599.01,0.73
22440,BALLOON WATER BOMB PACK OF 35,300,8523,3399.41,0.45
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,476,2644,5729.57,2.43
22442,GROW YOUR OWN FLOWERS SET OF 3,173,866,4765.32,7.47
22443,GROW YOUR OWN HERBS SET OF 3,265,683,5393.43,8.47
22444,GROW YOUR OWN PLANT IN A CAN,454,10132,13856.6,1.58
22445,PENCIL CASE LIFE IS BEAUTIFUL,285,1287,3948.86,3.47
22446,PIN CUSHION BABUSHKA PINK,189,618,1751.93,3.05
22447,PIN CUSHION BABUSHKA BLUE,82,248,796.34,3.49
22448,PIN CUSHION BABUSHKA RED,122,753,2426.73,3.69
22449,SILK PURSE BABUSHKA PINK,312,1323,4374.45,3.47
22450,SILK PURSE BABUSHKA BLUE,184,834,2798.28,3.51
22451,SILK PURSE BABUSHKA RED,244,1339,4496.99,3.82
22452,MEASURING TAPE BABUSHKA PINK,257,1271,3358.1,2.69
